series,location,keywords,numpages,articleno,booktitle,abstract,doi,url,address,publisher,isbn,year,title,author,ENTRYTYPE,ID,month,journal,issn,number,volume,issue_date,pages,note
UIST '25,,"Text-to-image generation, creativity, personalization, pluralism",18,162,Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology,"State-of-the-art visual generative AI tools hold immense potential to assist users in the early ideation stages of creative tasks — offering the ability to generate (rather than search for) novel and unprecedented (instead of existing) images of considerable quality that also adhere to boundless combinations of user specifications. However, many large-scale text-to-image systems are designed for broad applicability, yielding conventional output that may limit creative exploration. They also employ interaction methods that may be difficult for beginners. Given that creative end-users often operate in diverse, context-specific ways that are often unpredictable, more variation and personalization are necessary. We introduce POET, a real-time interactive tool that (1) automatically discovers dimensions of homogeneity in text-to-image generative models, (2) expands these dimensions to diversify the output space of generated images, and (3) learns from user feedback to personalize expansions. An evaluation with 28 users spanning four creative task domains demonstrated POET’s ability to generate results with higher perceived diversity and help users reach satisfaction in fewer prompts during creative tasks, thereby prompting them to deliberate and reflect more on a wider range of possible produced results during the co-creative process. Focusing on visual creativity, POET offers a first glimpse of how interaction techniques of future text-to-image generation tools may support and align with more pluralistic values and the needs of end-users during the ideation stages of their work1.",10.1145/3746059.3747710,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3746059.3747710,"New York, NY, USA",Association for Computing Machinery,9798400720376,2025,POET: Supporting Prompting Creativity and Personalization with Automated Expansion of Text-to-Image Generation,"Han, Evans Xu and Zhang, Alice Qian and Zhu, Haiyi and Shen, Hong and Liang, Paul Pu and Hsieh, Jane",inproceedings,10.1145/3746059.3747710,,,,,,,,
,,"Generative AI, LLMs, Image Generation, Computing, Multimedia Computing",22,356,,"Traditional multimedia experiences are undergoing a transformation as generative AI integration fosters enhanced creative workflows, streamlines content creation processes, and unlocks the potential for entirely new forms of multimedia storytelling. It has potential to generate captivating visuals to accompany a documentary based solely on historical text descriptions, or creating personalized and interactive multimedia experiences tailored to individual user preferences. From the high-resolution cameras in our smartphones to the immersive experiences offered by the latest technologies, the impact of generative imaging undeniable. This study delves into the burgeoning field of generative AI, with a focus on its revolutionary impact on image generation. It explores the background of traditional imaging in consumer electronics and the motivations for integrating AI, leading to enhanced capabilities in various applications. The research critically examines current advancements in state-of-the-art technologies like DALL-E 2, Craiyon, Stable Diffusion, Imagen, Jasper, NightCafe, and Deep AI, assessing their performance on parameters such as image quality, diversity, and efficiency. It also addresses the limitations and ethical challenges posed by this integration, balancing creative autonomy with AI automation. The novelty of this work lies in its comprehensive analysis and comparison of these AI systems, providing insightful results that highlight both their strengths and areas for improvement. The conclusion underscores the transformative potential of generative AI in image generation, paving the way for future research and development to further enhance and refine these technologies. This article serves as a critical guide for understanding the current landscape and future prospects of AI-driven image creation, offering a glimpse into the evolving synergy between human creativity and artificial intelligence.",10.1145/3689641,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3689641,"New York, NY, USA",Association for Computing Machinery,,2024,Revolutionizing Visuals: The Role of Generative AI in Modern Image Generation,"Bansal, Gaurang and Nawal, Aditya and Chamola, Vinay and Herencsar, Norbert",article,10.1145/3689641,November,ACM Trans. Multimedia Comput. Commun. Appl.,1551-6857,11,20,November 2024,,
GAIDMA '25,,"Art, Diffusion Models, Digital Art, GANs, Generative AI, Traditional painting",6,,Proceedings of the 2025 International Conference on Generative AI and Digital Media Arts,"Generative artificial intelligence (AI) is transforming traditional painting by introducing new models of creation. While conventional painting is limited by manual effort and material constraints, generative AI—powered by technologies such as GANs, VAEs, and Diffusion Models—enables efficient, automated, and diverse artistic output. This paper explores how generative AI reshapes painting processes, expands creative tools, and alters the role of artists. It examines key technical principles, style replication methods, and cross-genre fusion capabilities, supported by representative tools like DALL·E and Midjourney. By lowering creative barriers and enabling personalized expression, generative AI offers new directions for the evolution of painting. This study provides a concise overview of the technology's impact and contributes to understanding the future integration of AI and art.",10.1145/3770445.3770450,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3770445.3770450,"New York, NY, USA",Association for Computing Machinery,9798400718519,2025,The Impact of Generative AI on Traditional Painting Art Forms,"Liu, Jia",inproceedings,10.1145/3770445.3770450,,,,,,,25–30,
GAIDMA '25,,"Cultural Interactive Game, Emotional Design, Game Design, Generative AI",6,,Proceedings of the 2025 International Conference on Generative AI and Digital Media Arts,"This study applies generative artificial intelligence (AI) to cultural interactive design through Chuling, an AI-driven music game based on Norman's emotional design model. By integrating multimodal interaction, the system investigates how generative AI enhances user emotion and cultural identity. Tests with 50 participants show that AI significantly improves engagement and cultural resonance. The findings highlight generative AI's role as a co-agent for emotional interaction and cultural narration, offering pathways for its application in public cultural spaces and digital media art.",10.1145/3770445.3770463,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3770445.3770463,"New York, NY, USA",Association for Computing Machinery,9798400718519,2025,Generative AI for Emotional and Cultural Engagement in Interactive Games,"Luo, Manlei and Luan, Qi'ao and Yang, Lin and Li, Wei",inproceedings,10.1145/3770445.3770463,,,,,,,110–115,
CHI '24,"Honolulu, HI, USA","Prompt engineering, generative AI, text-to-image generation, user journey",13,183,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,"Generative Artificial Intelligence (AI) has witnessed unprecedented growth in text-to-image AI tools. Yet, much remains unknown about users’ prompt journey with such tools in the wild. In this paper, we posit that designing human-centered text-to-image AI tools requires a clear understanding of how individuals intuitively approach crafting prompts, and what challenges they may encounter. To address this, we conducted semi-structured interviews with 19 existing users of a text-to-image AI tool. Our findings (1) offer insights into users’ prompt journey including structures and processes for writing, evaluating, and refining prompts in text-to-image AI tools and (2) indicate that users must overcome barriers to aligning AI to their intents, and mastering prompt crafting knowledge. From the findings, we discuss the prompt journey as an individual yet a social experience and highlight opportunities for aligning text-to-image AI tools and users’ intents.",10.1145/3613904.3642861,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3613904.3642861,"New York, NY, USA",Association for Computing Machinery,9798400703300,2024,Is It AI or Is It Me? Understanding Users’ Prompt Journey with Text-to-Image Generative AI Tools,"Mahdavi Goloujeh, Atefeh and Sullivan, Anne and Magerko, Brian",inproceedings,10.1145/3613904.3642861,,,,,,,,
GAIDMA '25,,"Human-computer Interaction, Digital Mental Health, Emotion Visualization, Affective Computing, Empathetic AI Interaction.",9,,Proceedings of the 2025 International Conference on Generative AI and Digital Media Arts,"Childhood trauma often affects emotional expression and help-seeking, yet existing digital mental health tools rarely offer psychologically safe and personalized support. This paper presents HealBubble, a trauma-informed, AI-powered system that employs generative visual design to reduce expressive barriers and foster user agency. The system integrates LLM-based emotion inference and image generation with motion synthesis to generate dynamic ’emotion bubbles’ that represent internal affective states through color, shape and motion cues.HealBubble includes three core modules: an Emotion Journal for reflective expression, a Meditation Space that combines bubble-based visuals and ambient audio for emotional regulation, and a Bubble Community for anonymous symbolic sharing. A mixed-methods user study (n = 43) demonstrated a high recognition rate of emotional metaphors in HealBubble, which improved emotional awareness, and high user acceptance through non-intrusive, visually adaptive interaction.This work contributes to a novel technical and design pipeline that combines empathetic AI, affective visualization, and trauma-sensitive interaction. It highlights the potential of generative AI in digital mental health interventions and creative self-expression.",10.1145/3770445.3770497,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3770445.3770497,"New York, NY, USA",Association for Computing Machinery,9798400718519,2025,HealBubble: Emotion-Aware Visualization APP Powered by Generative AI,"Li, Shiqi and Chen, Shuyan and Gu, Xuyue and Guo, Mengyao and Jiang, Mengqi",inproceedings,10.1145/3770445.3770497,,,,,,,306–314,
GAITDI '25,,"Case Study, Educational Technology, Generative AI, Human-Centered AI, Personalized Learning, Vocational Education",6,,Proceedings of the International Conference on Implementing Generative AI into Telecommunication and Digital Innovation 2025,"The proliferation of Generative AI necessitates a re-evaluation of educational strategies, particularly in vocational fields. Traditional vocational education faces challenges like limited resource access, high software costs, and a lack of personalized feedback. This paper explores how integrating generative AI, guided by a human-centered philosophy, can address these issues. Through a qualitative analysis of four pedagogical interventions at a vocational school (e-commerce, art, math, and computer science), we find that AI, as a pedagogical co-pilot, boosts instructional efficiency, nurtures creativity, and enables individualized learning. The case studies show AI's ability to lower costs, remove practice barriers, and provide data-driven insights. We synthesize these findings into a conceptual framework for human-centered AI integration, emphasizing AI's role in empowering educators and learners. This research offers a transferable model and discusses ethical considerations for creating effective and equitable learning environments.",10.1145/3771792.3773891,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3771792.3773891,"New York, NY, USA",Association for Computing Machinery,9798400714924,2026,Integrating Generative AI with Human-Centered Pedagogy: An Innovative Path for Vocational Education,"Xu, Tingjie and Chen, Yisong",inproceedings,10.1145/3771792.3773891,,,,,,,278–283,
FAccT '25,,"algorithmic fairness, generative AI, language models, text-to-image, evaluation, AI regulation, algorithmic discrimination, anti-discrimination law",20,,"Proceedings of the 2025 ACM Conference on Fairness, Accountability, and Transparency","Generative AI (GenAI) models present new challenges in regulating against discriminatory behavior. In this paper, we argue that GenAI fairness research still has not met these challenges; instead, a significant gap remains between existing bias assessment methods and regulatory goals. This leads to ineffective regulation that can allow deployment of reportedly fair, yet actually discriminatory, GenAI systems. Towards remedying this problem, we connect the legal and technical literature around GenAI bias evaluation and identify areas of misalignment. Through four case studies, we demonstrate how this misalignment between fairness testing techniques and regulatory goals can result in discriminatory outcomes in real-world deployments, especially in adaptive or complex environments. We offer practical recommendations for improving discrimination testing to better align with regulatory goals and enhance the reliability of fairness assessments in future deployments.",10.1145/3715275.3732067,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3715275.3732067,"New York, NY, USA",Association for Computing Machinery,9798400714825,2025,Towards Effective Discrimination Testing for Generative AI,"Zollo, Thomas and Rajaneesh, Nikita and Zemel, Richard and Gillis, Talia and Black, Emily",inproceedings,10.1145/3715275.3732067,,,,,,,1028–1047,
,,"Generative AI literacy, AI literacy, data literacy, generative AI, prompt engineering, AI competencies, AI skills",21,13,,"This article introduces a competency-based model for generative artificial intelligence (AI) literacy covering essential skills and knowledge areas necessary to interact with generative AI. The competencies range from foundational AI literacy to prompt engineering and programming skills, including ethical and legal considerations. These 12 competencies offer a framework for individuals, policymakers, government officials, and educators looking to navigate and take advantage of the potential of generative AI responsibly. Embedding these competencies into educational programs and professional training initiatives can equip individuals to become responsible and informed users and creators of generative AI. The competencies follow a logical progression and serve as a roadmap for individuals seeking to become familiar with generative AI and for researchers and policymakers to develop assessments, educational programs, guidelines, and regulations.",10.1145/3685680,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3685680,"New York, NY, USA",Association for Computing Machinery,,2025,Generative AI Literacy: Twelve Defining Competencies,"Annapureddy, Ravinithesh and Fornaroli, Alessandro and Gatica-Perez, Daniel",article,10.1145/3685680,February,Digit. Gov.: Res. Pract.,,1,6,March 2025,,
CHI '25,,"Generative artificial intelligence, Diffusion model",19,546,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,"Text-to-image models can generate visually appealing images from text descriptions. Efforts have been devoted to improving model controls with prompt tuning and spatial conditioning. However, our formative study highlights the challenges for non-expert users in crafting appropriate prompts and specifying fine-grained spatial conditions (e.g., depth or canny references) to generate semantically cohesive images, especially when multiple objects are involved. In response, we introduce SketchFlex, an interactive system designed to improve the flexibility of spatially conditioned image generation using rough region sketches. The system automatically infers user prompts with rational descriptions within a semantic space enriched by crowd-sourced object attributes and relationships. Additionally, SketchFlex refines users’ rough sketches into canny-based shape anchors, ensuring the generation quality and alignment of user intentions. Experimental results demonstrate that SketchFlex achieves more cohesive image generations than end-to-end models, meanwhile significantly reducing cognitive load and better matching user intentions compared to region-based generation baseline.",10.1145/3706598.3713801,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3706598.3713801,"New York, NY, USA",Association for Computing Machinery,9798400713941,2025,SketchFlex: Facilitating Spatial-Semantic Coherence in Text-to-Image Generation with Region-Based Sketches,"Lin, Haichuan and Ye, Yilin and Xia, Jiazhi and Zeng, Wei",inproceedings,10.1145/3706598.3713801,,,,,,,,
